INFO_TIME,COUNTY_ID,COUNTY_ID_NM,TOWN_ID,TOWN_ID_NM,V_ID,V_ID_NM,fld0101,fld0201,fld0301,fld0401
╕ъо╞о╔╢б,┐делеN╜X,┐делжW║┘,╢m┬эел░╧еN╜X,╢m┬эел░╧жW║┘,з°и╜еN╜X,з°и╜жW║┘,дс╝╞,дHдf╝╞,иkй╩дHдf╝╞,дkй╩дHдf╝╞
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-016","дC▒iи╜",484,1680,882,798
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-043","дC╡▓и╜",1117,3237,1504,1733
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-005","дjкFи╜",0,0,0,0
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-045","дj╖sи╜",382,953,464,489
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-033","дj╣Dи╜",0,0,0,0
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-021","дpкFи╜",646,1714,874,840
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-031","дддsи╜",489,1128,578,550
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-020","дде┐и╜",0,0,0,0
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-046","дд┐│и╜",1234,3483,1665,1818
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-039","дхд╞и╜",1450,4044,1950,2094
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-028","е_к∙и╜",498,1388,720,668
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-026","е_мzи╜",911,2579,1280,1299
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-003","е┴е═и╜",0,0,0,0
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-036","е┴▒┌и╜",1118,3047,1477,1570
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-002","е┴┼vи╜",944,2095,1079,1016
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-041","жие\и╜",1296,3793,1813,1980
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-032","жшк∙и╜",754,2030,1045,985
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-023","з╡╖Gи╜",528,1395,740,655
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-007","йM╖№и╜",0,0,0,0
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-015","й╡ени╜",1313,3875,1854,2021
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-004","к@ени╜",0,0,0,0
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-014","кFз°и╜",854,2587,1287,1300
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-019","кFк∙и╜",481,1119,577,542
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-034","лnк∙и╜",683,1861,899,962
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-011","лnмzи╜",995,2380,1155,1225
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-009","лn╛Їи╜",434,1370,712,658
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-037","л╪нxи╜",747,2107,979,1128
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-010","л╪╖~и╜",657,1920,978,942
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-038","лф╖╜и╜",1872,5246,2516,2730
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-035","нt│ви╜",1390,3896,1830,2066
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-044","оїдsи╜",950,2689,1256,1433
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-001","пл╣Aи╜",1276,3129,1528,1601
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-025","╙tе╒и╜",794,2336,1153,1183
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-027","▒Ўмwи╜",1179,3593,1853,1740
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-012","│═▒█и╜",464,1472,756,716
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-040","┤_┐│и╜",1381,3401,1610,1791
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-022","╡ц╢щи╜",601,1549,748,801
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-008","╢iдhи╜",943,2462,1199,1263
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-030","╢kд¤и╜",0,0,0,0
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-017","╖Oжwи╜",771,2042,970,1072
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-018","╖sе┴и╜",805,1854,955,899
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-024","╖sе═и╜",994,2957,1509,1448
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-042","╖sкFи╜",1380,3871,1808,2063
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-006","╖s┐│и╜",0,0,0,0
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-029","╝yйMи╜",0,0,0,0
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-013","╛дй·и╜",696,2140,1083,1057
"103Y3M","10002","йy─ї┐д","10002010","йy─їел","10002010-047","┬\═∙и╜",1327,3376,1584,1792
"103Y3M","10002","йy─ї┐д","10002120","лn┐D╢m","10002120-003","кFйиз°",174,560,276,284
"103Y3M","10002","йy─ї┐д","10002120","лn┐D╢m","10002120-005","кZ╢Ёз°",189,532,292,240
"103Y3M","10002","йy─ї┐д","10002120","лn┐D╢m","10002120-004","кўйиз°",171,577,288,289
"103Y3M","10002","йy─ї┐д","10002120","лn┐D╢m","10002120-006","кўмvз°",206,609,328,281
"103Y3M","10002","йy─ї┐д","10002120","лn┐D╢m","10002120-001","лn┐Dз°",479,1526,806,720
"103Y3M","10002","йy─ї┐д","10002120","лn┐D╢m","10002120-002","║╤н╘з°",372,1226,656,570
"103Y3M","10002","йy─ї┐д","10002120","лn┐D╢m","10002120-007","┐Dксз°",294,963,518,445
"103Y3M","10002","йy─ї┐д","10002070","н√дs╢m","10002070-004","дC╜хз°",503,1595,869,726
"103Y3M","10002","йy─ї┐д","10002070","н√дs╢m","10002070-008","дд╡╪з°",308,747,438,309
"103Y3M","10002","йy─ї┐д","10002070","н√дs╢m","10002070-007","д║л░з°",625,1691,883,808
"103Y3M","10002","йy─ї┐д","10002070","н√дs╢m","10002070-009","е├йMз°",717,2143,1108,1035
"103Y3M","10002","йy─ї┐д","10002070","н√дs╢m","10002070-012","жP╝╓з°",919,2867,1568,1299
"103Y3M","10002","йy─ї┐д","10002070","н√дs╢m","10002070-002","й|╝wз°",878,2467,1330,1137
"103Y3M","10002","йy─ї┐д","10002070","н√дs╢m","10002070-011","кEдsз°",905,2651,1437,1214
"103Y3M","10002","йy─ї┐д","10002070","н√дs╢m","10002070-001","н√дsз°",2293,6377,3221,3156
"103Y3M","10002","йy─ї┐д","10002070","н√дs╢m","10002070-005","▓`╖╛з°",761,2043,1085,958
"103Y3M","10002","йy─ї┐д","10002070","н√дs╢m","10002070-003","┤fжnз°",583,1765,930,835
"103Y3M","10002","йy─ї┐д","10002070","н√дs╢m","10002070-015","┤Єе_з°",398,1188,637,551
"103Y3M","10002","йy─ї┐д","10002070","н√дs╢m","10002070-016","┤Єжшз°",605,1676,956,720
"103Y3M","10002","йy─ї┐д","10002070","н√дs╢m","10002070-013","┤ЄкFз°",359,1030,540,490
"103Y3M","10002","йy─ї┐д","10002070","н√дs╢m","10002070-014","╢hеPз°",386,1044,606,438
